plot,matched_tropes
"The eponymous character, played by Jimmy Wang, has hung up his signature broken sword and is living peacefully with his wife. However, a band of tyrannical sword masters take over the country, using their own signature styles and unique weapons to conquer all the sword fighting schools. They capture all the masters and teachers of the schools and deliver an ultimatum: all the students must cut off their sword arms and surrender the severed limbs to the evil warlords, or the students' beloved teachers will all die. The students turn to the legendary One-Armed Swordsman, who is at first reluctant but is convinced when a student actually does sacrificially chop his own arm off when he refuses to help. The One-Armed Swordsman must contend with the unique styles and weapons of the warlords, which is what makes the movie. Winged Blade  and his henchmen are able to jump or glide, a power that One-Arm foils by scattering calthrops where they land. Whirling Blade and his henchmen wield and throw two bladed bucklers, which return to them like Captain America's shield. Thunder Blade's sword both emits a smoke screen and is actually a shotgun. Thousand Blade  has long false fingernail blades that she can throw. And Unseen Blade  first appears to have an invisible sword, then suddenly has a sword that can unexpectedly grow longer. In the end the One-Armed Swordsman defeats the warlords and their armies, but by that time all of the sword fighting students who were helping him are dead. He leaves the last evil swords master, Unseen, to be chopped into chutney by the vengeful freed masters and teachers of the schools, and goes back to his wife.","['master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman']"
" A Dirty Carnival is the story of Kim Byung-doo , a small-time gangster in his late 20s. Unable to acquire the money necessary to save his family from eviction, Byung-Doo subverts his boss, Sang-chul , and takes a job directly from President Hwang , Sang-chul's boss, to eliminate the public attorney Park who has been bothersome to President Hwang. On this job's completion, Byung-Doo receives the money he was hoping for in addition to President Hwang's respect and a spot at his side. Byung-Doo and President Hwang swear never to speak of the hit to anyone so that they, nor the organization, will not be implicated. While these events are happening, Byung-doo is reunited with his high school friend, Min-ho , who has become a movie director. Min-ho's cuurrent project is a gangster film, although prospective scripts are continuously shot down by his higher-ups for being too fake. In an attempt to improve the film's authenticity, Min-ho sets out to interview Byung-doo who he sees as ""a real gangster"". Meanwhile, Min-ho manages to reunite Byung-doo with his high school love interest, Hyun-joo . Byung-doo finds that he still has an interest in her and attempts to rekindle their relationship. Sang-chul becomes aware of the attorney Park murder and feels threatened by Byung-doo's subversion of his authority and lack of consideration for the organization. He sets up a hit to take out Byung-doo, but Byung-doo learns of this before it occurs and manages to murder Sang-chul first, guaranteeing his safety in the short term. These murders don't leave Byung-doo without heavy emotional baggage, however. When Byung-doo's gangster tendencies frighten Hyun-joo away, Min-ho attempts to console Byung-doo who reveals to Min-ho his darkest secrets, including the hits on both Attorney Park and his former boss, Sang-chul. Missing Hyun-joo deeply, Byung-doo tries to hide his gangster tendencies to revive their relationship. However, despite his words to Hyun-joo otherwise, Byung-doo is unable to truly escape the gangster occupation. In fact, as his rank within the gang escalates, his actions become more violent and cruel, juxtaposing his ever growing affection for Hyun-joo. Soon Byung-doo discovers that Min-ho's gangster film reenacts many of the events from Byung-doo's past, including the hit on Attorney Park. Realizing the dangers of the organization being implicated, Byung-doo confronts Min-ho and threatens him never to tell anyone, choosing to spare his life despite pleas from his underlings that he do otherwise. These underlings later decide to take matters into their own hands and threaten Min-ho more seriously than Byung-doo was willing to do, but still sparing his life. It is then that Min-ho, deeply disturbed, goes to the police and informs them of the potential threats on his life. The police attempt to arrest Byung-doo but fail. It is then that Byung-doo believes that the proper solution is to eliminate Min-ho once and for all. As Min-ho  have become quite popular, it will not be an easy job - Byung-doo intends to perform the hit and fly out of the country, escaping the consequences of his actions. Byung-doo moves to assassinate Min-ho at an after-party for his film. Min-ho manages to escape outside where he is captured by Byung-doo's underlings who are supposed to take Min-ho to a planned location for Byung-doo to meet them at. Upon arrival, Byung-doo is attacked by unknown thugs. Despite being outnumbered, Byung-doo manages to stumble away from his attackers, heavily wounded. He appears to be saved as his underlings arrive on the scene, however, they betray Byung-doo and kill him. Notably, Jong-soo , Byung-doo's former right-hand man and his lone accomplice in the President Hwang murder, is present and appears to be leading the betrayal. The scene shifts to a meeting with President Hwang and Min-ho, who appears to be alive and well despite being captured by Byung-doo's men. President Hwang discusses potential movie ideas with Min-ho, saying he can draw inspiration from the stories of his past, though they shouldn't be too close to the truth for as he says, ""a fiction should remain a fiction"", referencing Min-ho's first movie and its connection to Byung-doo's untimely fate. Soon Jong-soo joins the meeting, taking Byung-doo's position at President Hwang's side, showcasing his subversion much in the same way that Byung-doo subverted his own boss, Sang-chul. The final scene is a repetition from earlier in the film, where Byung-doo visits Min-ho on his movie set to give him advice. Byung-doo encourages Min-ho with the friendly words, ""Make something with a real gangster spirit,"" reinforcing the strength of the friendship and gangster themes running througout the film.","['dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop']"
"Charles Coward  is a senior British NCO incarcerated in the POW camp Stalag VIII-B. He encourages his fellow inmates to escape, and tries to humiliate the German guards at every opportunity. He first attempts to escape by masquerading as a wounded German soldier. He is taken to hospital, where his identity is revealed, but not before being awarded the Iron Cross as he lies in his hospital bed. He then digs a tunnel, and, using a map he has obtained from the Polish resistance, escapes with fellow prisoner Bill Pope . They are captured at a train station. After the failure of that escape, they then manage to escape again by masquerading as workmen clearing rubble in a rural area. After learning that the American front line is only a mile away, they climb onto a handily parked fire engine. Their plan works - a German troop convoy on the road moves aside to allow the fire engine to pass through - and they drive the vehicle to safety.","['coward', 'coward', 'coward', 'coward', 'coward', 'coward']"
"Nick Lassiter  is a gentleman jewel thief in 1934 London, England. He is arrested by the police after breaking into a London mansion and, after being a member of a phony lineup in which he is positively identified by a law enforcement plant, British law enforcement and the FBI blackmail Lassiter to break into the German Embassy and steal $10 million in Nazi diamonds from a German spy , but first he must locate their hiding place. The gems are en route from South America and will be sold to help finance Hitler's military buildup.","['gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief']"
"An angry loan shark has a tendency of getting excessively violent with anyone who doesn't have his money. His mob boss disapproves of his actions, warning him to tone things down or else. As expected, things only get worse.","['morally_bankrupt_banker', 'morally_bankrupt_banker', 'morally_bankrupt_banker']"
"The neighborhood bully, Tuffy, played by Johnny Downs, is determined to lick every boy in the neighborhood. He beats up one boy, makes Jay and Jackie stand on their heads, and makes Bonedust and Scooter bark like a dog. Along comes Joe and Farina wearing bandages, and pretending to be too disabled to fight, but Tuffy beats them up anyway. Joe and Farina encourage the boys to band together and they then chase the bully off. The gang retires to their hideout and draw lots to decide who should finish the bully off. Joe and Farina draw the unlucky lots and go looking for the bully, but Peggy tells them that Tuffy has moved to Chicago. Joe and Farina return with the lie that they beat Tuffy up and threw him in the lake.","['bully', 'bully', 'bully']"
"Father documents the tumultuous relationship between a widowed father, Ma Lisheng, and his school-age son, Ma Che. Though he works as a low-level party functionary during the day, he finds his greatest challenges in the raising of a son on his own. Alternating between trying to bond with his son , and verbally accosting him, Ma is at a loss. One day the son decides that the best way for his father to stop harassing him, will be to find him a new wife, which he finds in the form of the mother of a school friend, Qing Huaiyuan.","['father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men']"
"Bounty hunter Jack Walsh  is enlisted by bail bondsman Eddie Moscone to bring accountant Jonathan “The Duke” Mardukas  back to L.A. The accountant had embezzled $15 million from Chicago mob boss Jimmy Serrano  before skipping the $450,000 bail Moscone has posted for him. Jack must bring The Duke back within five days, or Eddie defaults. Eddie says the job is easy, a ""midnight run,"" but Jack demands $100,000. Jack is then approached by FBI Agent Alonzo Mosely , who wants The Duke to be a witness against Serrano. At Kennedy airport in New York, Serrano’s henchmen Tony  and Joey  offer Jack $1 million to turn The Duke over to them. Jack takes custody of The Duke and calls Eddie from the airport, not knowing that Eddie’s line is tapped by the FBI and Jerry , Eddie’s assistant, is secretly working for Serrano. When The Duke has a panic attack on the plane, Jack is forced to travel via train. When Jack and The Duke fail to show up, Eddie brings in rival bounty hunter Marvin Dorfler  to find them. Marvin uses Jack’s credit card number to find out where they are and then has the card canceled. Jack is able to get the drop on Marvin and leaves the train, but without funds, he is forced to rely on other means to get across the country, including stealing cars, borrowing his ex-wife’s  car in Chicago, and hitchhiking. The Duke tries to get to know Jack, who eventually reveals that he had been an undercover officer in Chicago trying to get close to Serrano. Refusing to take money like other corrupt officers, Jack is setup and forced to leave town. In Arizona, Marvin catches up with them and takes The Duke away from Jack, who is found by Mosely. Jack realizes that Marvin intends to turn The Duke over to Serrano. Marvin tries to get $2 million from Tony and Joey for The Duke, but the plan backfires. Jack bluffs that he has computer disks created by The Duke with enough information to put Serrano away. At McCarran Airport, Jack meets up with Serrano while wearing a wire and being watched by the FBI. Marvin, at the airport to fly home, spots The Duke and interrupts the exchange. Marvin punches Jack and unknowingly disables the wire. At the last minute, Jack yells that Serrano has the disks; the FBI closes in, arresting Serrano and his henchmen. Moseley turns The Duke over to Jack with enough time to return him to L.A. by the deadline. In L.A., Jack calls Eddie to tell him that he has The Duke, but that he is letting him go. Before parting, The Duke gives Jack $300,000 in a money belt he had been hiding. Jack flags down a taxi and asks the driver if he has change for a $1,000 bill, but the taxi drives away, so he starts walking home.","['bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter']"
"Surfer, Dude is the story of Steve Addington, a soul-searching surfer who experiences an existential crisis when no waves come for over a month, whilst at the same time a virtual reality game is created emulating surfing, that completely freaks him out, and he refuses sponsorship.","['surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude']"
"Freddy the Freshman, ""the freshest kid in town"" and a canine ""big man on campus"", crashes a college pep rally, and then proceeds to become the star of the big campus football game.","['big_man_on_campus', 'big_man_on_campus', 'big_man_on_campus', 'big_man_on_campus', 'big_man_on_campus', 'big_man_on_campus', 'big_man_on_campus']"
"John Tucker, a bounty hunter comes face to face with the most dangerous ordeal of his career but he is armed with his most powerful weapon yet, his son, who travels back in time to save him from a brutal gang of criminals.","['bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter']"
"A man traveling to the funeral of his fifth-grade teacher recalls his life at the time. As a city boy transferred to a country school, he encountered an unexpectedly old-fashioned hierarchical bullying system. When he tried to create a rebellion against the system, both those oppressed by it and the teachers and parents opposed him. When change finally came to the school, it was in an equally harsh form.Synopsis based on {{Amg movie}}","['bully', 'bully', 'bully']"
"Mordecai C. Jones , is a drifting confidence trickster who makes his living defrauding people in the southern United States. One of his specialties is rigged punchboards. He befriends a young man named Curley , a deserter on the run from the United States Army, and the two team up to make money and keep out of reach of the law.","['trickster', 'trickster', 'trickster', 'trickster', 'trickster']"
"Gentleman jewel thief Raffles  decides to give up his criminal ways as the notorious ""Amateur Cracksman"" after falling in love with Lady Gwen . However, when his friend Bunny Manders  tries to commit suicide because of a gambling debt he cannot repay, Raffles decides to take on one more job for Bunny's sake. He joins Bunny and Gwen as guests of Lord and Lady Melrose, with an eye toward acquiring the Melrose necklace, once the property of Empress Joséphine. Complications arise when a gang of thieves also decides to try for the necklace at the same time. Inspector Mackenzie of Scotland Yard  gets wind of their plot and shows up at the Melrose estate with his men. Burglar Crawshaw breaks into the house and succeeds in stealing the jewelry, only to have Raffles take it away from him. Crawshaw is caught by the police, but learns his robber's identity. Meanwhile, both Gwen and Mackenzie suspect that Raffles is the famous jewel thief. When the necklace is not found, Mackenzie insists that all the guests remain inside, then quickly changes his mind. Gwen overhears Mackenzie tell one of his men that he intends to let Crawshaw escape, expecting the crook to go after Raffles and thereby incriminate him. She follows Raffles back to London to warn him. Crawshaw does as Mackenzie anticipated. However, Raffles convinces Crawshaw that it is too dangerous to pursue his original goal with all the policemen around and helps him escape. Then, Raffles publicly confesses to being the Amateur Cracksman. When Lord Melrose shows up, Raffles reminds him of the reward he offered for the necklace's return  and produces the jewelry. Then, he outwits Mackenzie and escapes, after arranging with Gwen to meet her in Paris.","['gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief']"
"Considered a coward by his fiancée and comrades in arms, a British army officer has to redeem himself.","['coward', 'coward', 'coward', 'coward', 'coward', 'coward']"
"A young man  returns home to see his elderly father before the latter dies. The father tells his son to extend the love he feels for his family to the greater good. The young man tries to teach the same principles to his children, who instead run off to the city to enjoy the city. The man, however, moves to the countryside to build an orphanage. When his children eventually return, he gives them the same advice his father had given him.","['father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men']"
"Due to a shortage of Police Officers, the newly-elected female Mayor of an unnamed American city has announced a policy requiring the Police Department to accept all willing recruits, effectively abolishing fitness requirements, educational levels and medical standards. Not everyone in the Police Force is happy about the new changes. Carey Mahoney  is an easygoing man who has repeatedly gotten himself in trouble with the law when standing up to arrogance. Mahoney is forced to join the Police Force as an alternative to jail, a proposal by Captain Reed who has been lenient on Mahoney because of knowing his father, who was also a Policeman. Mahoney reluctantly agrees to this, deciding that he will get himself thrown out as a loophole. However, the Chief of Police , outraged by the Mayor's lowered requirements, decides that the new cadets should be forced to quit rather than being thrown out. Lieutenant Thaddeus Harris , who trains the cadets, agrees with the plan and employs tactics to make their lives as miserable as possible so that they do in fact quit. However, Commandant Lassard  is the only one who doesn't agree with both Harris and the Chief of Police's schemes. He wants to give the new cadets a chance. Mahoney tries many schemes to get thrown out as he cannot quit, since as part of the deal he made with Captain Reed, if he quits, he will be sent to jail. But eventually has a change of heart and decides to stay for good, having fallen in love with another cadet, Karen Thompson . While in the Academy, Mahoney becomes friends with fellow cadets Larvell Jones , a human beatbox; George Martin , a ladies man who speaks with a fake Spanish accent to attract women; Eugene Tackleberry , a military obsessed adrenaline junkie; Leslie Barbara , an overweight wimp; and Moses Hightower , a giant of a man who is actually quite shy and keeps away from violence. Mahoney helps Hightower prepare for the critical driving test and after he passes; Hightower is very thankful to Mahoney. Unfortunately, the ""quit policy"" does not apply to Hightower, who gets himself kicked out of the Academy by Harris because of an incident. After the hated cadet Chad Copeland ([[Scott Thomson  racially insults his friend and fellow cadet Laverne Hooks , Hightower is offended and lifts the Police car in which Copeland is seated. Despite Hooks and Harris trying to reason with him to calm down, he turns the car over on Copeland. Later on, both he and Kyle Blankes  discovered what happened to their car. Shortly after this, Mahoney and Barbara are having lunch in the cafeteria and talking about Hightower's expulsion. He's finally getting sick of being in the Academy, but refuses to quit. Despite Blankes and Copeland's attempt to get him to fight them so they can give Harris a reason to expel him, he still refuses. Barbara throws the first punch by hitting Copeland with a lunch tray and he passes out from it. Blankes is offended by him and punches him back, which promptly gets Mahoney involved in a brawl with him. When Lt. Harris asks them who started it, Mahoney takes the blame for throwing the first punch to protect Barbara's standing, which finally gives him the green light to expel his most despised cadet. Before Mahoney actually leaves the premises, however, a major riot breaks out downtown. The resulting Police emergency forces the cadets into real action for the first time. During the riot, a wanted criminal manages to steal two Police revolvers from Blankes and Copeland. They managed to hide from the criminal in a building and much to their horror, it's the Blue Oyster Bar. Barbara manages to avoid the rioters, but finds himself confronted by the same men who bullied him when he was working at a picture developing booth. Despite their attempts to bully him again, Barbara takes control of the situation by asserting himself. Soon he orders the men to return the furniture and leave, only to learn the men were actually moving out due to the riots. The outlaw then proceeds to capture Harris in the confusion, taking the Officer to the roof of a nearby building as a hostage. Mahoney, putting aside his uneven past with Harris, bravely attempts a rescue, which is promptly fumbled, allowing Mahoney to be taken as a second hostage. Just as both are about to be killed, it is none other than Hightower who suddenly appears on the rooftop. The former cadet manages to fool the madman into thinking he is a fellow crook and demands that he kill Harris. However, when the criminal does try to pull the trigger, Hightower easily knocks him unconscious and he falls onto the stairs. When he wakes up to kill Hightower, Hooks quickly apprehends him by entering the back door to the building (which she tried to tell Sgt. Callahan . Mahoney and Hightower both graduate from the Academy a few days later and for their rescue of Lt. Harris and capture of his kidnapper, also receive the Academy's highest commendation. All of the cadets graduate with flying colours, finally winning a respectful salute from the reluctant Harris.","['officer_and_a_gentleman', 'officer_and_a_gentleman', 'officer_and_a_gentleman', 'officer_and_a_gentleman']"
"The film opens with a carnival in Venice as a prelude to a series of erotic encounters that follow Giacomo Casanova through the cities of 18th century Europe. It is during this festival that a gigantic bust fails to rise from the water, which is taken as a bad omen. Casanova is then introduced as he defiles a fake nun for the pleasure of a rich voyeur; Casanova succeeds in entertaining him, but he is frustrated that the man finds no interest in his alchemical research and further scheming. As he rows back to mainland, Casanova is arrested, judged and imprisoned by the High Court over his famed debauchery. During his time in prison, Casanova reminisces of his affair with a seamstress and later on one of her servants, Anna Maria, who is bound by frequent fainting and requires constant bloodletting. He eventually consummates his desire to be with Anna Maria. Back in prison, Casanova escapes through the rooftops and exiles himself from Venice, being taken into the Paris court of the Madame d'Urfé. The Madame, an aged woman, enthralled by Casanova's apparent knowledge of alchemy, wishes to transform her soul into a man's through ritualistic intercourse with him . Casanova then moves to the court of a hunchback, Du Bois, in between taking charge of a beautiful girl—""the love of [his] life""—Henriette. Du Bois puts on a homosexual performance for his guests that unsettles some of his guests and Casanova is brought to tears as Henriette plays some music. The lovers vow fidelity to each other, but the following morning Henriette has disappeared. Du Bois informs Casanova that an emissary of a far-away court has reclaimed Henriette, and she's left her bidding that Casanova not attempt following her. While in London, an aged Casanova is robbed by two women and he attempts suicide by drowning himself in the Thames. A vision of a giantess and two dwarves detracts him, and follows them to a Frost fair, where he arm-wrestles the giantess—a princess—and later pays to watch her bathe with the dwarves. Casanova resumes his travelling the following day. He frequents a deranged party at Lord Talou's in Rome, where he wins a bet with a stagecoach driver, Righetto, over how many orgasms he can have in one hour. The competition brings him higher acclaim. In Germany he falls in love with an alchemist's daughter, Isabella, who fails to keep up with an appointment to go to Dresden with him; Casanova instead partakes in an orgy within the hostel he's been stranded. He has a brief, chance encounter with his enstranged mother in a theater. He then moves to a court in Württemberg, where his desire to be taken seriously as a writer/inventor are frustrated by the court's orgiastic, wild nature. It is here that he meets Rosalba, a mechanical doll with whom he shares a dance and later on goes to bed with. Times goes by and an old Casanova finds himself librarian to Count Waldstein at his castle in Dux. Life at the castle is more than frustrating for Casanova, as he is made eat with other servants and does not get the respect nor the food he claims to deserve. Waldstein's manservant, Faulkircher, and his lover Vidarol, make him object of mockery and animosity. A portrait of him is hanged and defecated on. Later on, during a fervent poetry recital, a court member fails to suppress a giggle at Casanova, who, humiliated and disappointed, goes back up to his room. The final scene has a weary, bloodshot Casanova cringing in an armchair and recounting a recent dream. In this dream, Casanova is back in Venice. He catches a glimpse of the giant bust seen in the beginning of the film, buried under thick layers of ice in the river. He chases the ghosts of his past lovers, all of whom disappear. An ornate stagecoach beckons him to join its passengers. He finally meets with Rosalba, the mechanical doll, once again. They quietly dance with each other.","['casanova', 'casanova', 'casanova', 'casanova', 'casanova', 'casanova', 'casanova']"
